Tech,TP,FN,TN,FP,FAR,FRR,ERR,SPEC (%),SEN (%),PRECISION (%),ACCURACY (%),TRAINING TIME(s),RECALL,Threshold value
GWO,0.8106508875739645,0.3905325443786982,201.41420118343194,0.38461538461538464,0.00014646435057706956,0.9763313609467456,0.3381976257327225,99.80940652122918,67.48768472906403,64.81937602627256,67.48768472906403,198.07901048660278,0.6748768472906403,0.002004008016032064
CGWO,0.8284023668639053,0.3727810650887574,201.42603550295857,0.3727810650887574,0.00023448869659552725,0.9881656804733728,0.34864206415342586,99.81527093596058,68.9655172413793,66.58456486042692,68.96551724137932,181.17838621139526,0.6896551724137931,0.002004008016032064
GWO-SVM,0.7455621301775148,0.4556213017751479,201.34319526627218,0.4556213017751479,0.0,1.0,0.5262608394549603,99.77422003284072,62.06896551724137,59.59770114942528,62.06896551724138,56.24282479286194,0.6206896551724138,0.004008016032064128
CGWO-SVM,0.5384615384615384,0.6627218934911243,201.1360946745562,0.6627218934911243,0.0,1.0,0.5057412568069489,99.67159277504105,44.82758620689655,33.46864137504531,44.827586206896555,57.685744762420654,0.4482758620689655,0.0060120240480961915
